"expedition_name"	"latitude"	"longitude"	"lower_elevation"	"upper_elevation"	"locality_id"	"collector_number"	"species_epithet"	"habitat1"	"flower_color"	"phyllotaxy"	"tube_lo"	"tube_hi"	"meantube"	"beak_lo"	"beak_hi"	"meanbeak"	"nectar"	"beehav"	"stigmapos"	"habitat2"	"microhabitat"	"plant_description"	"locality_habitat"					
"1996 Qinghai (CAS,"	32.14	97.27	3630		239	2347	"siphonantha"	"meadow"	"red"	1	40	70	55	11		11	0	1	"T-lateral"		"Near river among pebbles."	"Perennial herb"	" stems spreading"	" corolla deep pinkish purple, lower lip with 4 dark spots."	"Broad valley: bottom with very short Kobresia meadow, much disturbed, with patches of Ligularia"	" river with areas of bare alluvium and islands with thickets of Hippophaë bushes"	" slopes of valley heavily grazed, with widely scattered bushes."	
"1996 Qinghai (CAS,"	32.14	97.27	3630		239	2391	"lachnoglossa"	"meadow"	"red"	1	11		11	4		4	0	1	"VA"		"On slopes."	"Tuberous rooted perennial"	" inflorescences to 30 cm"	" in fruit."	"Broad valley: bottom with very short Kobresia meadow, much disturbed, with patches of Ligularia"	" river with areas of bare alluvium and islands with thickets of Hippophaë bushes"	" slopes of valley heavily grazed, with widely scattered bushes."	
"1996 Qinghai (CAS,"	32.14	97.27	3630		239	2402	"lyrata"	"meadow"	"yellow"	0	7	10	8.5	0		0	1	0	"DA"		"Locally in Kobresia meadow."	"Annual or short-lived perennial, stems to 6 cm, usually less"	" corolla pale yellow."	"Broad valley: bottom with very short Kobresia meadow, much disturbed, with patches of Ligularia"	" river with areas of bare alluvium and islands with thickets of Hippophaë bushes"	" slopes of valley heavily grazed, with widely scattered bushes."		
"1996 Qinghai (CAS,"	32.09	97.27	3600	3900	240	2349	"scolopax"	"scrub"	"yellow"	0	10		10	3		3	0	1	"VA"		"In semi shade of Juniperus"	"Herb to 25 cm"	" corolla pale yellow with darker galea."	"East side of valley with heavily grazed alpine meadow, slopes with patches of dwarf Picea likiangensis woodland mainly on steeper rockier slopes, some collecting done along gullies with streams."				
"1996 Qinghai (CAS,"	32.09	97.27	3600	3900	240	2351	"densispica"	"scrub"	"red"	0	6	8	7	0		0	1	1	"DA"		"In damp places under Juniperus and Berberis."	"Herb to 35 cm"	" corolla pink."	"East side of valley with heavily grazed alpine meadow, slopes with patches of dwarf Picea likiangensis woodland mainly on steeper rockier slopes, some collecting done along gullies with streams."				
"1996 Qinghai (CAS,"	32.09	97.01	3600		242	2422	"daucifolia"	"forest"	"red"	0	5	6	5.5	0		0	1	0	"DA"		"Under Picea, locally disturbed."	"Herb with slender root, branches ascending"	" corolla pale pink with dark streaks at base of lower lip."	"Valley with Picea likiangensis forest, lower slopes with Juniperus and Berberis."				
"1996 Qinghai (CAS,"	32.09	97.01	3600		242	2435	"cyathophylla"	"forest"	"red"	0	35	55	45	7		7	0	1	"DT"		"Under Picea"	"Late flowering specimens of #2410"	" corolla pale purple with dark purple galea, lower lip strongly twisted to one side."	"Valley with Picea likiangensis forest, lower slopes with Juniperus and Berberis."				
"1996 Qinghai (CAS,"	32.09	97.01	3600		242	2436	"oliveriana"	"forest"	"red"	0	6	7	6.5	8		8	0	1	"A-lateral"		"On steep rocky banks under Picea and Juniperus."	"Herb"	" inflorescences to 40 cm"	" corolla pale purple with paler base and darker galea."	"Valley with Picea likiangensis forest, lower slopes with Juniperus and Berberis."			
"1996 Qinghai (CAS,"	32.08	97.01	3450	3550	244	2536	"croizatiana"	"forest"	"yellow"	1	25	30	27.5	5		5	0	1	"VA"		"In level area under Picea"	"Gregarious herb from slender root"	" flowering stems to 20 cm"	" corolla pale yellow with deep yellow galea and center to lower lip."	"Valley with Picea likiangensis forest on slopes, bottom of slopes with Juniperus and Berberis, stream along bottom, some collections made in cultivated area on way."			
"1996 Qinghai (CAS,"	32.08	97	3400		245	2523	"pseudomelampyriflora"	"scrub"	"white, red"	0	9	12	10.5	9	12	10.5	1	0	"DT"			"Perennial herb"	" roots swollen"	" inflorescences to 60 cm"	" corolla white with pale purple galea and nectar guides on lower lip (most plants in fruit)."	"Steep slope with Juniperus."		
"1996 Qinghai (CAS,"	32.08	97.04	3620		246	2572	"kansuensis"	"forest"	"red"	0	10	12	11	0		0	1	0	"DT"		"At forest margin under Picea"	"Cespitose perennial herb"	" Inflorescences to 45 cm"	" corolla uniform pink."	"Valley (mostly running E-W) with Picea likiangensis forest on N facing slopes and Juniperus scrub on S facing slopes. Forests degraded through logging and valley bottom heavily yak grazed. Higher slopes with disturbed alpine meadow."			
"1996 Qinghai (CAS,"	32.08	97.04	3620		246	2574	"roylei"	"forest"	"red"	0	10	11	10.5	0		0	1	0	"DT"		"At forest margin under Picea"	"Herb to 20 cm"	" roots slightly thickened"	" corolla pale pink with darker veining."	"Valley (mostly running E-W) with Picea likiangensis forest on N facing slopes and Juniperus scrub on S facing slopes. Forests degraded through logging and valley bottom heavily yak grazed. Higher slopes with disturbed alpine meadow."			
"1996 Qinghai (CAS,"	32.08	97.04	3620		246	2586	"armata"	"scrub"	"yellow"	1	90	120	105	15		15	0	1	"A-lateral"		"In wet places among shrubs."	"Herb from slender root"	" flowering stems to 20 cm"	" corolla pale yellow with deep yellow galea and center to lower lip."	"Valley (mostly running E-W) with Picea likiangensis forest on N facing slopes and Juniperus scrub on S facing slopes. Forests degraded through logging and valley bottom heavily yak grazed. Higher slopes with disturbed alpine meadow."			
"1996 Qinghai (CAS,"	32.08	97.04	3620		246	2555	"cyathophylla"	"scrub"	"red"	0	35	55	45	7		7	0	1	"DT"		"Under shrubs."	"Perennial herb"	" stems to 60 cm"	" corolla pale purple with dark purple galea, lower lip strongly twisted to one side."	"Valley (mostly running E-W) with Picea likiangensis forest on N facing slopes and Juniperus scrub on S facing slopes. Forests degraded through logging and valley bottom heavily yak grazed. Higher slopes with disturbed alpine meadow."			
"1996 Qinghai (CAS,"	32.08	97.07	3640		251	2687	"rhinanthoides"	"scrub"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"		"Under Salix shrubs."	"Perennial herb, roots thickened"	" infructescence to 30 cm."					
"1996 Qinghai (CAS,"	32.1	97.04	3570		252	2708	"oliveriana"	"meadow"	"red"	0	6	7	6.5	8		8	0	1	"A-lateral"		"On grassy slope with trees."	"Rhizomatous perennial"	" stems to 35 cm"	" leaves often purplish"	" corolla purple, galea darker."			
"1996 Qinghai (CAS,"	32.28	96.46	3550		259	2772	"kansuensis"	"scrub"	"red"	0	10	12	11	0		0	1	0	"DT"			"Perennial herb"	" inflorescences to 40 cm"	" corolla pink with dark lines in center of lower lip"	"Flood plain. River meandering and divided between shoals of sand and/or alluvial pebbles, some with bush land of Hippophaë and/or Myricaria, others with stands of annual herbs and rhizomatous grasses and sedges"	" moister depressions with Triglochin palustre."		
"1996 Qinghai (CAS,"	32.28	96.27	4000	4100	261	2810	"verticillata"	"scrub"	"red"	0	6	9	7.5	0		0	1	0	"DT"		"In wet places on rocky slopes."	"Annual herb"	" inflorescences to 30 cm"	" corolla pink with darker veins on lower lip."	"Narrow limestone gorge with river at bottom. Shrub covered rocky slopes, limestone cliffs, and damp spring- or stream-fed areas."			
"1996 Qinghai (CAS,"	32.28	96.27	4000	4100	261	2820	"szetschuanica"	"scrub"	"red"	0	10		10	0		0	0	0	"DT"		"In turf between shrubs and along paths."	"Short annual herb"	" corolla deep pink with darker center and galea."	"Narrow limestone gorge with river at bottom. Shrub covered rocky slopes, limestone cliffs, and damp spring- or stream-fed areas."				
"1996 Qinghai (CAS,"	31.83	96.49	3900		270	2935	"siphonantha"	"scrub"	"red"	1	40	70	55	11		11	0	1	"T-lateral"		"Under Juniperus."	"Sessile herb"	" corolla erect, purple pink, lower lip with white center, galea dark purple."	"Gentle slopes with degraded alpine meadow"	" steeper slopes with groves of Juniperus"			
"1996 Qinghai (CAS,"	31.83	96.49	3900		270	2945	"kansuensis"	"meadow"	"red"	0	10	12	11	0		0	1	0	"DT"		"Under Juniperus and in alpine meadow."	"Herb to 25 cm"	" corolla pale purple."	"Gentle slopes with degraded alpine meadow"	" steeper slopes with groves of Juniperus"			
"1996 Qinghai (CAS,"	31.83	96.49	3900		270	2954	"lyrata"	"meadow"	"yellow"	0	7	10	8.5	0		0	1	0	"DA"		"In alpine meadow and under trees."	"Herb to 7 cm (probably larger earlier but browsed)"	" corolla pale yellow."	"Gentle slopes with degraded alpine meadow"	" steeper slopes with groves of Juniperus"			
"1996 Qinghai (CAS,"	31.88	96.52	3790		278	2998	"pectinatiformis"	"scrub"	"red, white"	0	10		10	10		10	0	1	"VA"		"Under Juniperus."	"Herb to 40 cm"	" corolla with lower lip purplish pink, galea white on lower part, beak dark purple."	"Slopes with Picea likiangensis forest, mostly degraded"				
"1996 Qinghai (CAS,"	31.88	96.52	3790		278	3015	"longistipitata"	"forest"	"yellow"	0	11		11	0		0	1	0	"DT"		"At forest margin."	"Perennial herb"	" stems to 25 cm"	" corolla pale yellow."	"Slopes with Picea likiangensis forest, mostly degraded"			
"1996 Qinghai (CAS,"	31.88	96.57	4020		280	3036	"rupicola"	"scrub"	"red"	0	10		10	0		0	1	0	"DT"		"Under shrubs."	"Herb ?biennial"	" stems to 40 cm"	" corolla pink with pale tube."	"Limestone ridge with scattered Juniperus"			
"1993 Qinghai (CAS,"	36.36	101.45	3940	0	310	11	"verticillata"	"meadow"	"red"	0	6	9	7.5	0		0	1	0	"DT"			"Flowers dull deep pink, roots not well-developed."	"Alpine meadow on steep slope, degraded with much bare soil, Papaver nudicaule prominent."					
"1993 Qinghai (CAS,"	0	0	3040	0	311	18	"longiflora"	"meadow"	"yellow"	1	40	70	55	6		6	0	1	"T-lateral"			"Roots fleshy, in tussocks, flowers yellow with 2 brown lines in center of lower lip."	"Wet flush of growth over loose scree with Pedicularis longiflora and Montia."					
"1993 Qinghai (CAS,"	34.68	100.68	3100	3200	319	65	"scolopax"	"scrub"	"yellow"	0	10		10	3		3	0	1	"VA"			"Common on slopes. Perennial forming small clumps, lower lip pale yellow, upper lip chrome yellow, twisted slightly to one side."	"Steep crumbling mudstone slopes, some rocky outcrops near river, Artemisia dubia and Stipa, often bare soil."					
"1993 Qinghai (CAS,"	34.68	100.68	3100	3200	319	67	"alaschanica"	"scrub"	"yellow"	0	13		22.5	2	3	2.5	1	0	"DA"			"Growing on slopes. Perennial, lower lip of corolla pale yellow, upper lip chrome yellow, straight."	"Steep crumbling mudstone slopes, some rocky outcrops near river, Artemisia dubia and Stipa, often bare soil."					
"1993 Qinghai (CAS,"	34.68	100.68	3100	3200	319	82	"kansuensis"	"scrub"	"red"	0	10	12	11	0		0	1	0	"DT"			"Perennial herb forming clump, flowers deep pink."	"Steep crumbling mudstone slopes, some rocky outcrops near river, Artemisia dubia and Stipa, often bare soil."					
"1993 Qinghai (CAS,"	34.72	100.71	3450	0	322	148	"longiflora"	"meadow"	"yellow"	1	40	70	55	6		6	0	1	"T-lateral"			"In seepage areas. Perennial herb, roots fusiform, corolla bright yellow with 2 brown lines on lower lip."	"Juniper woodland on rocky areas, alpine meadows with many seepage areas."					
"1993 Qinghai (CAS,"	34.72	100.71	3450	0	322	151	"verticillata"	"meadow"	"red"	0	6	9	7.5	0		0	1	0	"DT"			"Infrequent in drier meadows. Flowers pink with pale marks on lower lip."	"Juniper woodland on rocky areas, alpine meadows with many seepage areas."					
"1993 Qinghai (CAS,"	34.72	100.71	3450	0	322	154	"cranolopha"	"forest"	"yellow"	1	36	40	45	7	8	7.5	0	1	"T-lateral"			"On dirt covered scree. Perennial herb with many stems, corolla pale yellow with chrome yellow upper lip and center of lower lip."	"Juniper woodland on rocky areas, alpine meadows with many seepage areas."					
"1993 Qinghai (CAS,"	34.72	100.71	3450	0	322	155		"forest"	"yellow"	1	45	50	47.5	9	10	9.5	0	1	"T-lateral"			"On rockier meadows. From taproot, calyx often spotted, corolla uniform pale yellow."	"Juniper woodland on rocky areas, alpine meadows with many seepage areas."					
"1993 Qinghai (CAS,"	34.66	100.63	3350	3450	324	197	"cheilanthifolia"	"forest"	"yellow"	0	11	14	12.5	0		0	1	0	"DA"			"Perennial with fleshy roots, corolla uniform pale yellow."	"Open Picea crassifolia woodland on steep slope, ground cover close turf, Polygonum viviparum common."					
"1993 Qinghai (CAS,"	34.66	100.63	3350	3450	324	221	"densispica"	"forest"	"red"	0	6	8	7	0		0	1	1	"DA"			"Herb to 50 cm, corolla uniform pale pink."	"Open Picea crassifolia woodland on steep slope, ground cover close turf, Polygonum viviparum common."					
"1993 Qinghai (CAS,"	34.66	100.63	3350	3450	324	232	"chinensis"	"forest"	"yellow"	1	45	50	47.5	9	10	9.5	0	1	"T-lateral"			"Herb, corolla pale yellow with darker yellow upper lip twisted to one side."	"Open Picea crassifolia woodland on steep slope, ground cover close turf, Polygonum viviparum common."					
"1993 Qinghai (CAS,"	34.65	100.61	3500	3600	325	279	"cranolopha"	"forest"	"yellow"	1	36	40	45	7	8	7.5	0	1	"T-lateral"			"W facing slope in full sun. Herb, corolla pale yellow."	"Picea forest on N and E slopes, Juniperus forest on W facing slopes, alpine meadow along valley between and at top of altitude range covered."					
"1993 Qinghai (CAS,"	34.65	100.61	3500	3600	325	252	"tristis"	"forest"	"yellow"	1	15		15	0		0	1	0	"DT"			"Among shrubs among Picea. Corolla pale yellow."	"Picea forest on N and E slopes, Juniperus forest on W facing slopes, alpine meadow along valley between and at top of altitude range covered."					
"1993 Qinghai (CAS,"	34.65	100.61	3500	3600	325	283	"rhinanthoides"	"forest"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"			"Along stream. Perennial herb, corolla pink with white center."	"Picea forest on N and E slopes, Juniperus forest on W facing slopes, alpine meadow along valley between and at top of altitude range covered."					
"1993 Qinghai (CAS,"	34.65	100.61	3500	3600	325	289	"szetschuanica"	"forest"	"red"	0	10		10	0		0	0	0	"DT"			"Wet slopes. Flowers uniform bright pink."	"Picea forest on N and E slopes, Juniperus forest on W facing slopes, alpine meadow along valley between and at top of altitude range covered."					
"1993 Qinghai (CAS,"	34.68	100.64	3160	0	326	301	"alaschanica"	"scrub"	"yellow"	0	13		22.5	2	3	2.5	1	0	"DA"			"Herb, corolla pale yellow, fruiting calyx translucent."	"Disturbed hillside with scattered grass tussocks."					
"1993 Qinghai (CAS,"	34.68	100.64	3160	0	326	310	"kansuensis"	"scrub"	"red"	0	10	12	11	0		0	1	0	"DT"			"Herb, corolla varying from white to deep pink with darker veins."	"Disturbed hillside with scattered grass tussocks."					
"1993 Qinghai (CAS,"	34.68	100.64	3160	0	326	311	"cranolopha"	"scrub"	"yellow"	1	36	40	45	7	8	7.5	0	1	"T-lateral"			"Corolla pale yellow with chrome yellow center and upper lip."	"Disturbed hillside with scattered grass tussocks."					
"1993 Qinghai (CAS,"	34.59	100.56	3430	0	327	315	"semitorta"	"meadow"	"yellow"	0	10	11	10.5	5	7	6	0	1	"T-lateral"			"Erect herb to 60 cm, corolla pale yellow, upper lip very twisted."	"River terrace in alpine meadow area."					
"1993 Qinghai (CAS,"	34.59	100.56	3450	3550	328	326	"rudis"	"meadow"	"yellow"	1	12		12	0		0	1	0	"DT"			"On slopes. From fusiform taproot, corolla pale yellow, entire corolla slightly twisted to left."	"General area alpine meadow with close species rich turf and outcrops of schist and quartzite, some plants on terrace along river."					
"1993 Qinghai (CAS,"	34.59	100.56	3450	3550	328	329	"cheilanthifolia"	"meadow"	"yellow"	0	11	14	12.5	0		0	1	0	"DA"			"On slopes. Erect herb, flowers pale yellow."	"General area alpine meadow with close species rich turf and outcrops of schist and quartzite, some plants on terrace along river."					
"1993 Qinghai (CAS,"	34.59	100.56	3450	3550	328	330	"semitorta"	"meadow"	"yellow"	0	10	11	10.5	5	7	6	0	1	"T-lateral"			"On slopes. Erect herb, flowers pale yellow."	"General area alpine meadow with close species rich turf and outcrops of schist and quartzite, some plants on terrace along river."					
"1993 Qinghai (CAS,"	34.59	100.56	3450	3550	328	338	"tristis"	"meadow"	"yellow"	1	15		15	0		0	1	0	"DT"			"On slopes in drier area. Herb, corolla pale yellow."	"General area alpine meadow with close species rich turf and outcrops of schist and quartzite, some plants on terrace along river."					
"1993 Qinghai (CAS,"	34.53	100.41	3760	0	329	367	"szetschuanica"	"meadow"	"red"	0	10		10	0		0	0	0	"DT"			"Among Potentilla brevifolia. Perennial herb, corolla bright pink."	"Riverine alpine meadow, heavily overgrazed."					
"1993 Qinghai (CAS,"	34.51	100.41	3900	0	330	373	"rhinanthoides"	"meadow"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"			"Growing along grassy drainage channel. Perennial herb, corolla bright magenta with whitish center and downwardly curved upper lip, sweetly scented."	"Alpine meadow with good cover of Salix, Spiraea and Potentilla brevifolia."					
"1993 Qinghai (CAS,"	34.72	99.69	3800	0	331	383	"szetschuanica"	"meadow"	"red"	0	10		10	0		0	0	0	"DT"			"On slopes with Potentilla brevifolia. Flowers deep pink, symmetrical."	"Disturbed alpine meadow around old settlement and rock slopes with scattered Juniperus."					
"1993 Qinghai (CAS,"	34.69	99.67	3850	0	332	390	"lyrata"	"meadow"	"yellow"	0	7	10	8.5	0		0	1	0	"DA"			"On more open terracing. Herb, flowers lemon yellow."	"Alpine meadow on river terrace."					
"1993 Qinghai (CAS,"	34.69	99.67	3850	0	332	396	"cheilanthifolia"	"meadow"	"yellow"	0	11	14	12.5	0		0	1	0	"DA"			"Perennial herb, corolla very pale yellow."	"Alpine meadow on river terrace."					
"1993 Qinghai (CAS,"	34.6	99.83	3850	0	334	403	"rhinanthoides"	"meadow"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"			"Perennial herb, flowers deep pink with white center, sweet scented."	"Alpine meadow."					
"1993 Qinghai (CAS,"	34.59	99.84	3950	0	336	414	"longiflora"	"meadow"	"yellow"	1	40	70	55	6		6	0	1	"T-lateral"			"In short grass, wet soil. Perennial herb, corolla bright yellow."	"Alpine meadow/dwarf Salix bush land on steep slope."					
"1993 Qinghai (CAS,"	34.59	99.86	3850	0	337	430	"oederi"	"meadow"	"yellow"	1	12	16	14	0		0	1	0	"DA"			"Among bushes. Fleshy rooted perennial, corolla pale yellow with brown veined upper lip, mostly in fruit."	"Alpine meadow/dwarf Salix bush land on steep slope."					
"1993 Qinghai (CAS,"	34.43	100.33	3820	0	345	502	"lyrata"	"meadow"	"yellow"	0	7	10	8.5	0		0	1	0	"DA"			"Small herb, no fleshy roots or rhizome, corolla cream- yellow."	"Alpine meadow with Ligularia virgaurea, very few woody plants, bare soil frequent, some plants collected from slight slope."					
"1993 Qinghai (CAS,"	34.43	100.33	3820	0	345	510	"kansuensis"	"meadow"	"white"	0	10	12	11	0		0	1	0	"DT"			"Perennial herb, corolla white with fine dark lines either side of throat."	"Alpine meadow with Ligularia virgaurea, very few woody plants, bare soil frequent, some plants collected from slight slope."					
"1993 Qinghai (CAS,"	34.43	100.33	3820	0	345	511	"verticillata"	"meadow"	"red, white"	0	6	9	7.5	0		0	1	0	"DT"			"Herb, corolla bright pink, lower lip white with dark veins in center."	"Alpine meadow with Ligularia virgaurea, very few woody plants, bare soil frequent, some plants collected from slight slope."					
"1993 Qinghai (CAS,"	34.43	100.33	3820	0	345	512	"ingens"	"meadow"	"yellow"	1	14		14	1		1	1	0	"DA"			"Perennial from large fusiform taproot, corolla pale yellow, upper lip straight, lower lip twisted to left."	"Alpine meadow with Ligularia virgaurea, very few woody plants, bare soil frequent, some plants collected from slight slope."					
"1993 Qinghai (CAS,"	34.4	100.39	3920	0	346	524	"tristis"	"meadow"	"yellow"	1	15		15	0		0	1	0	"DT"			"Rhizomatous perennial, corolla pale yellow, lower lip twisted to left."	"Alpine meadow with Hedysarum and N facing slope with very dense turf and frequent dwarf shrubs, mostly Potentilla."					
"1993 Qinghai (CAS,"	34.4	100.39	3920	0	346	525	"cheilanthifolia"	"meadow"	"red"	0	11	14	12.5	0		0	1	0	"DA"			"Herb, roots fleshy, corolla bright pink with white center to lower lip."	"Alpine meadow with Hedysarum and N facing slope with very dense turf and frequent dwarf shrubs, mostly Potentilla."					
"1993 Qinghai (CAS,"	34.4	100.39	3920	0	346	526	"rhinanthoides"	"meadow"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"			"Herb with fleshy roots, corolla bright pink with white center to lower lip, sweet scented."	"Alpine meadow with Hedysarum and N facing slope with very dense turf and frequent dwarf shrubs, mostly Potentilla."					
"1993 Qinghai (CAS,"	34.36	100.26	3870	0	347	541	"longiflora"	"scrub"	"yellow"	1	40	70	55	6		6	0	1	"T-lateral"			"In short wet turf. Herb, corolla bright yellow."	"Flat bottomed valley, bottom with mosaic of short wet turf and dwarf Salix/Potentilla bush land, slopes with dwarf bush land and rock outcrops."					
"1993 Qinghai (CAS,"	34.71	100.24	3500	0	350	619	"kansuensis"	"scrub"	"red"	0	10	12	11	0		0	1	0	"DT"			"On dry slopes. Herb, corolla pale to dark pink with dark lines in throat."	"Side of valley with steep slope, mostly dry with large tussock grasses and bare soil, shallower slopes with alpine meadow, areas of deeper soil with shrubs."					
"1993 Qinghai (CAS,"	34.71	100.24	3500	0	350	620	"alaschanica"	"scrub"	"yellow"	0	13		22.5	2	3	2.5	1	0	"DA"			"On dry slopes. Herb, corolla pale yellow, lower lip slightly twisted to left, upper lip straight, darker yellow."	"Side of valley with steep slope, mostly dry with large tussock grasses and bare soil, shallower slopes with alpine meadow, areas of deeper soil with shrubs."					
"1993 Qinghai (CAS,"	34.47	100.39	4220	0	351	660	"pheulpinii"	"meadow"	"red, white"	0	7		7	5		5	0	1	"VA"			"Perennial herb, corolla pale purple/pink, lower lip with whitish center and dark veins."	"Alpine meadow, disturbed by grazing."					
"1993 Qinghai (CAS,"	34.47	100.39	4220	0	351	662	"roylei"	"meadow"	"red"	0	10	11	10.5	0		0	1	0	"DT"			"Perennial herb, corolla deep pink, sweet-scented, both lips twisted clockwise."	"Alpine meadow, disturbed by grazing."					
"1993 Qinghai (CAS,"	34.46	100.4	4300	4500	352	670	"chenocephala"	"meadow"	"red"	0	10		10	1		1	1	0	"DA"			"Perennial herb, corolla deep pink."	"Alpine meadows on steep slopes and scree."					
"1993 Qinghai (CAS,"	34.46	100.4	4300	4500	352	672	"cheilanthifolia"	"meadow"	"yellow"	0	11	14	12.5	0		0	1	0	"DA"			"Perennial herb, corolla pale yellow."	"Alpine meadows on steep slopes and scree."					
"1993 Qinghai (CAS,"	34.46	100.4	4300	4500	352	674	"roylei"	"meadow"	"red"	0	10	11	10.5	0		0	1	0	"DT"			"Perennial herb, petals deep pink."	"Alpine meadows on steep slopes and scree."					
"1993 Qinghai (CAS,"	34.58	99.45	4780	4900	356	750	"oederi"	"meadow"	"yellow"	1	12	16	14	0		0	1	0	"DA"			"Growing in consolidated turf and in frost-heaved soils. Perennial herb, corolla pale yellow, upper lip with dark brown markings."	"Alpine meadow and rocky slopes in the vicinity of the pass."					
"1993 Qinghai (CAS,"	34.58	99.45	4780	4900	356	775	"roylei"	"meadow"	"red"	0	10	11	10.5	0		0	1	0	"DT"			"In level alpine meadow. Perennial herb, corolla pink, lower lip with pale center and dark veins."	"Alpine meadow and rocky slopes in the vicinity of the pass."					
"1993 Qinghai (CAS,"	34.56	99.52	4400	0	357	787	"przewalskii"	"meadow"	"red"	1	30	35	32.5	5	6	5.5	0	1	"VA"			"On old road embankment. Cespitose perennial, calyx turning dark red, corolla deep carmine pink, center sometimes slightly paler."	"Alpine meadow."					
"1993 Qinghai (CAS,"	34.33	100.51	3980	0	359	804	"pheulpinii"	"meadow"	"red"	0	7		7	5		5	0	1	"VA"			"Growing on drier tussocks. Perennial herb, corolla deep cerise pink, no markings, sweet scented."	"Wet area with pool and hummock complex and stream flowing through."					
"1993 Qinghai (CAS,"	34.33	100.51	3980	0	359	805	"longiflora"	"meadow"	"yellow"	1	40	70	55	6		6	0	1	"T-lateral"			"Growing on and between hummocks. Cespitose herb, corolla bright yellow, longest flowers in drier sites."	"Wet area with pool and hummock complex and stream flowing through."					
"1993 Qinghai (CAS,"	34.33	100.51	3980	0	359	806	"rhinanthoides"	"meadow"	"red, white"	1	24	30	27	7	10	8.5	0	1	"A-lateral"			"Growing between tussocks. Perennial herb, corolla deep pink with white center and base to upper lip."	"Wet area with pool and hummock complex and stream flowing through."					
"1993 Qinghai (CAS,"	33.93	99.74	4400	0	363	903	"szetschuanica"	"meadow"	"red"	0	10		10	0		0	0	0	"DT"			"In turf. Herb, corolla deep pink, upper lip and center of lower lip darker."	"Disturbed alpine meadow on slopes."					
"1993 Qinghai (CAS,"	33.9	99.68	4150	0	364	951	"przewalskii"	"meadow"	"red"	1	30	35	32.5	5	6	5.5	0	1	"VA"			"In short moist turf in valley bottom. Perennial herb, corolla deep pink with pale center."	"Flat bottomed valley with moist alpine meadows on bottom, slopes with rocky outcrops and thick turf, quite a lot of disturbance."					
"1993 Qinghai (CAS,"	33.9	99.68	4150	0	364	953	"scolopax"	"meadow"	"yellow"	0	10		10	3		3	0	1	"VA"			"On exposed rocky ridge. Herb, corolla pale yellow with darker yellow upper lip."	"Flat bottomed valley with moist alpine meadows on bottom, slopes with rocky outcrops and thick turf, quite a lot of disturbance."					
"1993 Qinghai (CAS,"	33.9	99.68	4150	0	364	954	"ingens"	"meadow"	"yellow"	1	14		14	1		1	1	0	"DA"			"On grassy slope. Perennial herb, rootstock very deeply buried, corolla yellow."	"Flat bottomed valley with moist alpine meadows on bottom, slopes with rocky outcrops and thick turf, quite a lot of disturbance."					
"1993 Qinghai (CAS,"	33.76	99.43	4000	0	367	1021	"lyrata"	"meadow"	"yellow"	0	7	10	8.5	0		0	1	0	"DA"			"On grassy slopes. Apparently annual, corolla pale yell yellow."	"Valley sides with alpine meadow and rock outcrops."					
"1993 Qinghai (CAS,"	33.69	99.43	4050	0	369	1030	"kansuensis"	"meadow"	"white"	0	10	12	11	0		0	1	0	"DT"			"In turf. Herb, often gregarious, corolla pure white."	"Partly from plane of river and from gently sloping valley sides with sandy soil and granitic boulders, whole area badly overgrazed."					
"1993 Qinghai (CAS,"	33.73	99.35	4040	0	373	1103	"alaschanica"	"meadow"	"yellow, red"	0	13		22.5	2	3	2.5	1	0	"DA"			"At base of disturbed rocky slope & among pebbles on river flood plane. Herb with slender taproot, corolla pale yellow with reddish upper lip."	"Slopes with Kobresia meadow and rock outcrops, some areas with deep sandy soil and more open vegetation."					
"1993 Qinghai (CAS,"	33.73	99.35	4040	0	373	1105	"ingens"	"meadow"	"yellow"	1	14		14	1		1	1	0	"DA"			"In dense turf. Perennial with large tap root, corolla pale yellow, upper lip slightly darker and glossy, slightly twisted."	"Slopes with Kobresia meadow and rock outcrops, some areas with deep sandy soil and more open vegetation."					
"1993 Qinghai (CAS,"	33.73	99.35	4040	0	374	1144	"alaschanica"	"gravel"	"yellow"	0	13		22.5	2	3	2.5	1	0	"DA"			"Among pebbles. Perennial herb with fleshy taproot, corolla very pale yellow, almost white."	"On flood plane of the Huang He with terraces of pebbles and sandy areas."					
"1993 Qinghai (CAS,"	33.3	100.43	4000	0	377	1184	"cranolopha"	"meadow"	"yellow"	1	36	40	45	7	8	7.5	0	1	"T-lateral"			"On sides of valley. Perennial herb, corolla pale yellow with chrome yellow center."	"Valley with flat bottom, river terraces with pebbles and turf, sides of valley with Kobresia turf, some areas with intensive pika disturbance, dark moist soil."					
"1993 Qinghai (CAS,"	33.3	100.43	4000	0	377	1187	"armata"	"meadow"	"yellow"	1	90	120	105	15		15	0	1	"A-lateral"			"Growing along river. Perennial herb, single taproot, corolla pale yellow with darker tube and center to lower lip, upper lip twisted, with 2 dark spots."	"Valley with flat bottom, river terraces with pebbles and turf, sides of valley with Kobresia turf, some areas with intensive pika disturbance, dark moist soil."					
